品类,SKU,规格,批发价低,批发价高,零售价,促销低价,来源,日期
水,农夫山泉饮用天然水,550ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第1行；清单编制2026-09-11,
水,怡宝纯净水,555ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第2行；清单编制2026-09-11,
水,百岁山天然矿泉水,570ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第3行；清单编制2026-09-11,
水,娃哈哈饮用纯净水,596ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第5行；清单编制2026-09-11,
碳酸,可口可乐经典,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第12行；清单编制2026-09-11,
碳酸,雪碧柠檬味,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第14行；清单编制2026-09-11,
碳酸,芬达橙味,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第15行；清单编制2026-09-11,
碳酸,百事可乐原味,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第17行；清单编制2026-09-11,
碳酸,可口可乐零度无糖,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第19行；清单编制2026-09-11,
无糖茶,东方树叶茉莉花茶,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第30行；清单编制2026-09-11,
无糖茶,东方树叶乌龙茶,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第31行；清单编制2026-09-11,
无糖茶,东方树叶青柑普洱,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第32行；清单编制2026-09-11,
无糖茶,康师傅纯萃零糖茉莉花茶,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第42行；清单编制2026-09-11,
果汁,美汁源果粒橙,450ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第50行；清单编制2026-09-11,
功能饮料,红牛维生素功能饮料金罐,250ml/罐,,,,,待实采；选品引23-饮料SKU.csv 数据第61行；清单编制2026-09-11,
功能饮料,宝矿力水特,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第64行；清单编制2026-09-11,
功能饮料,东鹏特饮,500ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第67行；清单编制2026-09-11,
乳饮料,娃哈哈AD钙奶,220g/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第74行；清单编制2026-09-11,
乳饮料,椰树椰汁,245ml/罐,,,,,待实采；选品引23-饮料SKU.csv 数据第85行；清单编制2026-09-11,
即饮咖啡,雀巢丝滑拿铁,268ml/瓶,,,,,待实采；选品引23-饮料SKU.csv 数据第90行；清单编制2026-09-11,
膨化,乐事薯片原味,70g/袋,,,,,待实采；选品引24-零食SKU.csv 数据第1行；清单编制2026-09-11,
膨化,上好佳鲜虾片,40g/袋,,,,,待实采；选品引24-零食SKU.csv 数据第5行；清单编制2026-09-11,
膨化,好丽友呀土豆番茄味,70g/袋,,,,,待实采；选品引24-零食SKU.csv 数据第7行；清单编制2026-09-11,
辣条魔芋,卫龙大面筋,106g/袋,,,,,待实采；选品引24-零食SKU.csv 数据第12行；清单编制2026-09-11,
辣条魔芋,卫龙魔芋爽香辣味,50g/袋,,,,,待实采；选品引24-零食SKU.csv 数据第15行；清单编制2026-09-11,
坚果炒货,洽洽香瓜子原味,308g/袋,,,,,待实采；选品引24-零食SKU.csv 数据第21行；清单编制2026-09-11,
肉脯卤味,劲仔深海小鱼仔,12g/包,,,,,待实采；选品引24-零食SKU.csv 数据第43行；清单编制2026-09-11,
饼干,奥利奥夹心饼干原味,97g/盒,,,,,待实采；选品引24-零食SKU.csv 数据第61行；清单编制2026-09-11,
方便面,康师傅红烧牛肉面(袋装),105g/袋,,,,,待实采；选品引25-速食SKU.csv 数据第1行；清单编制2026-09-11,
方便面,康师傅香辣牛肉面(袋装),100g/袋,,,,,待实采；选品引25-速食SKU.csv 数据第2行；清单编制2026-09-11,
方便面,康师傅经典桶红烧牛肉面,110g/桶,,,,,待实采；选品引25-速食SKU.csv 数据第8行；清单编制2026-09-11,
方便面,康师傅经典桶香辣牛肉面,104g/桶,,,,,待实采；选品引25-速食SKU.csv 数据第9行；清单编制2026-09-11,
方便面,统一老坛酸菜牛肉面(桶装),120g/桶,,,,,待实采；选品引25-速食SKU.csv 数据第15行；清单编制2026-09-11,
方便面,统一汤达人日式豚骨拉面(袋装),125g/袋,,,,,待实采；选品引25-速食SKU.csv 数据第18行；清单编制2026-09-11,
乳品,伊利金典纯牛奶,250ml/盒,,,,,待实采；选品引06-乳品.csv 数据第1行；清单编制2026-09-11,
乳品,蒙牛特仑苏纯牛奶,250ml/盒,,,,,待实采；选品引06-乳品.csv 数据第2行；清单编制2026-09-11,
乳品,伊利安慕希原味酸奶,205g/盒,,,,,待实采；选品引06-乳品.csv 数据第3行；清单编制2026-09-11,
鲜奶,新希望华西24小时,190ml/瓶,,,,,待实采；选品引28-冰品乳品.csv 数据第49行；清单编制2026-09-11,
乳酸菌,养乐多(小红瓶),100ml×5/排,,,,,待实采；选品引28-冰品乳品.csv 数据第57行；清单编制2026-09-11,
冰淇淋,蒙牛随变香草,70g/支,,,,,待实采；选品引28-冰品乳品.csv 数据第7行；清单编制2026-09-11,
冰淇淋,蒙牛绿色心情绿豆,70g/支,,,,,待实采；选品引28-冰品乳品.csv 数据第9行；清单编制2026-09-11,
