记录日序,日期,门店,品项/条码,批次,到货时间,到货数量,观察时刻,累计售出,账面剩余,实盘剩余,售罄时刻,报损数量,报损原因,单件成本,单件售价,补货/陈列备注
1,,,,批次1,,,,,,,,,,,,
1,,,,批次2,,,,,,,,,,,,
1,,,,批次3,,,,,,,,,,,,
2,,,,批次1,,,,,,,,,,,,
2,,,,批次2,,,,,,,,,,,,
2,,,,批次3,,,,,,,,,,,,
3,,,,批次1,,,,,,,,,,,,
3,,,,批次2,,,,,,,,,,,,
3,,,,批次3,,,,,,,,,,,,
4,,,,批次1,,,,,,,,,,,,
4,,,,批次2,,,,,,,,,,,,
4,,,,批次3,,,,,,,,,,,,
5,,,,批次1,,,,,,,,,,,,
5,,,,批次2,,,,,,,,,,,,
5,,,,批次3,,,,,,,,,,,,
6,,,,批次1,,,,,,,,,,,,
6,,,,批次2,,,,,,,,,,,,
6,,,,批次3,,,,,,,,,,,,
7,,,,批次1,,,,,,,,,,,,
7,,,,批次2,,,,,,,,,,,,
7,,,,批次3,,,,,,,,,,,,
