商品编号,品类,商品,目标规格,品牌/门店,商圈/地址,采价日期,采价时间,现场条码,普通价,促销价,促销条件,可得状态,照片编号,备注
P01,水,农夫山泉饮用天然水,550ml/瓶,,,,,,,,,未采,,
P02,水,怡宝纯净水,555ml/瓶,,,,,,,,,未采,,
P03,水,百岁山天然矿泉水,570ml/瓶,,,,,,,,,未采,,
P04,水,娃哈哈饮用纯净水,596ml/瓶,,,,,,,,,未采,,
P05,碳酸,可口可乐经典,500ml/瓶,,,,,,,,,未采,,
P06,碳酸,雪碧柠檬味,500ml/瓶,,,,,,,,,未采,,
P07,碳酸,芬达橙味,500ml/瓶,,,,,,,,,未采,,
P08,碳酸,百事可乐原味,500ml/瓶,,,,,,,,,未采,,
P09,碳酸,可口可乐零度无糖,500ml/瓶,,,,,,,,,未采,,
P10,无糖茶,东方树叶茉莉花茶,500ml/瓶,,,,,,,,,未采,,
P11,无糖茶,东方树叶乌龙茶,500ml/瓶,,,,,,,,,未采,,
P12,无糖茶,东方树叶青柑普洱,500ml/瓶,,,,,,,,,未采,,
P13,无糖茶,康师傅纯萃零糖茉莉花茶,500ml/瓶,,,,,,,,,未采,,
P14,果汁,美汁源果粒橙,450ml/瓶,,,,,,,,,未采,,
P15,功能饮料,红牛维生素功能饮料金罐,250ml/罐,,,,,,,,,未采,,
P16,功能饮料,宝矿力水特,500ml/瓶,,,,,,,,,未采,,
P17,功能饮料,东鹏特饮,500ml/瓶,,,,,,,,,未采,,
P18,乳饮料,娃哈哈AD钙奶,220g/瓶,,,,,,,,,未采,,
P19,乳饮料,椰树椰汁,245ml/罐,,,,,,,,,未采,,
P20,即饮咖啡,雀巢丝滑拿铁,268ml/瓶,,,,,,,,,未采,,
P21,膨化,乐事薯片原味,70g/袋,,,,,,,,,未采,,
P22,膨化,上好佳鲜虾片,40g/袋,,,,,,,,,未采,,
P23,膨化,好丽友呀土豆番茄味,70g/袋,,,,,,,,,未采,,
P24,辣条魔芋,卫龙大面筋,106g/袋,,,,,,,,,未采,,
P25,辣条魔芋,卫龙魔芋爽香辣味,50g/袋,,,,,,,,,未采,,
P26,坚果炒货,洽洽香瓜子原味,308g/袋,,,,,,,,,未采,,
P27,肉脯卤味,劲仔深海小鱼仔,12g/包,,,,,,,,,未采,,
P28,饼干,奥利奥夹心饼干原味,97g/盒,,,,,,,,,未采,,
P29,方便面,康师傅红烧牛肉面(袋装),105g/袋,,,,,,,,,未采,,
P30,方便面,康师傅香辣牛肉面(袋装),100g/袋,,,,,,,,,未采,,
P31,方便面,康师傅经典桶红烧牛肉面,110g/桶,,,,,,,,,未采,,
P32,方便面,康师傅经典桶香辣牛肉面,104g/桶,,,,,,,,,未采,,
P33,方便面,统一老坛酸菜牛肉面(桶装),120g/桶,,,,,,,,,未采,,
P34,方便面,统一汤达人日式豚骨拉面(袋装),125g/袋,,,,,,,,,未采,,
P35,乳品,伊利金典纯牛奶,250ml/盒,,,,,,,,,未采,,
P36,乳品,蒙牛特仑苏纯牛奶,250ml/盒,,,,,,,,,未采,,
P37,乳品,伊利安慕希原味酸奶,205g/盒,,,,,,,,,未采,,
P38,鲜奶,新希望华西24小时,190ml/瓶,,,,,,,,,未采,,
P39,乳酸菌,养乐多(小红瓶),100ml×5/排,,,,,,,,,未采,,
P40,冰淇淋,蒙牛随变香草,70g/支,,,,,,,,,未采,,
P41,冰淇淋,蒙牛绿色心情绿豆,70g/支,,,,,,,,,未采,,
P42,冰淇淋,东北大板草原奶,70g/支,,,,,,,,,未采,,
P43,啤酒,雪花勇闯天涯,500ml/罐,,,,,,,,,未采,,
P44,啤酒,青岛经典,500ml/罐,,,,,,,,,未采,,
P45,啤酒,百威经典,500ml/罐,,,,,,,,,未采,,
P46,小白酒,中国劲酒35度,125ml/瓶,,,,,,,,,未采,,
P47,抽纸,维达超韧抽纸,3层120抽M码 单包,,,,,,,,,未采,,
P48,牙膏,云南白药牙膏留兰香,100g/支,,,,,,,,,未采,,
P49,卫生巾,苏菲弹力贴身日用,230mmx10片/包,,,,,,,,,未采,,
P50,湿巾,心相印杀菌湿巾独立装,10片/包,,,,,,,,,未采,,
